feature_1,feature_2,abs_spearman_corr
recent_tpv,tx_drop_ratio,0.39137591261866994
recent_tpv,recent_pct_pix_tpv,0.3850435164201457
recent_pct_ecom_tpv,days_since_last_tx,0.3657287992653989
recent_tpv,median_days_between_tx,0.3583167469702767
tpv_drop_ratio,recent_approval_rate,0.3572586491474158
recent_n_tx,previous_n_tx,0.3469161180033808
previous_tpv,approval_rate_drop,0.34131232246433246
recent_pct_pix_tpv,days_since_last_tx,0.3395881929548275
previous_approval_rate,previous_pct_ecom_tpv,0.3324083410829959
tpv_drop_ratio,recent_n_tx,0.32998970475792344
recent_bad_status_rate,days_since_last_tx,0.32925667667880937
recent_n_tx,approval_rate_drop,0.3242179427305602
tx_drop_ratio,days_since_last_tx,0.3219933810054601
recent_approval_rate,recent_pct_ecom_tpv,0.32199035398180803
previous_n_tx,days_since_last_tx,0.3199889899249916
previous_n_tx,approval_rate_drop,0.2881427632280355
recent_tpv,previous_n_tx,0.28723163677276903
days_since_last_tx,median_days_between_tx,0.28515381662407446
previous_tpv,recent_n_tx,0.2844712991356527
recent_tpv,previous_tpv,0.2816646212954215
recent_approval_rate,recent_pct_pix_tpv,0.27873071572376135
approval_rate_drop,recent_bad_status_rate,0.27829690551614905
recent_approval_rate,recent_bad_status_rate,0.27462263208311866
previous_approval_rate,previous_pct_pix_tpv,0.27337885489879943
previous_tpv,days_since_last_tx,0.2725755398348295
previous_approval_rate,previous_bad_status_rate,0.26699346592920703
previous_pct_pix_tpv,median_days_between_tx,0.2658499541263125
approval_rate_drop,days_since_last_tx,0.2638184233839415
previous_pct_ecom_tpv,median_days_between_tx,0.26243854722805804
recent_pct_ecom_tpv,median_days_between_tx,0.23989687648274532
previous_bad_status_rate,median_days_between_tx,0.23933334690317523
recent_bad_status_rate,median_days_between_tx,0.2243181684755591
tpv_drop_ratio,previous_pct_ecom_tpv,0.22293944967275164
tpv_drop_ratio,days_since_last_tx,0.21377630225150152
recent_pct_pix_tpv,median_days_between_tx,0.21199242641420138
previous_n_tx,recent_pct_ecom_tpv,0.20395134260738737
tx_drop_ratio,previous_pct_ecom_tpv,0.20104797166611696
tpv_drop_ratio,previous_pct_pix_tpv,0.19878577233910677
recent_n_tx,previous_pct_pix_tpv,0.19082564868716387
recent_n_tx,previous_pct_ecom_tpv,0.18998400367877927
tx_drop_ratio,recent_pct_ecom_tpv,0.1868960896755048
tx_drop_ratio,previous_pct_pix_tpv,0.1864252891593481
previous_n_tx,recent_bad_status_rate,0.17662945435265776
approval_rate_drop,recent_pct_ecom_tpv,0.17541679102663976
recent_n_tx,previous_bad_status_rate,0.17430298914146372
previous_pct_pix_tpv,days_since_last_tx,0.1728821954302077
previous_approval_rate,median_days_between_tx,0.172548395796858
tx_drop_ratio,previous_bad_status_rate,0.1715041095762393
tx_drop_ratio,recent_pct_pix_tpv,0.17138530562746518
previous_tpv,recent_pct_ecom_tpv,0.1695348404103452
previous_n_tx,recent_pct_pix_tpv,0.16929754622310886
tx_drop_ratio,recent_bad_status_rate,0.16406306171824112
previous_pct_ecom_tpv,days_since_last_tx,0.16344198518293399
tpv_drop_ratio,recent_pct_pix_tpv,0.15610627131038673
recent_tpv,previous_pct_ecom_tpv,0.15598643165360293
tpv_drop_ratio,recent_pct_ecom_tpv,0.15596383678739684
recent_tpv,previous_pct_pix_tpv,0.15431331277467486
approval_rate_drop,recent_pct_pix_tpv,0.15333082624646532
previous_bad_status_rate,days_since_last_tx,0.15239543369653796
recent_tpv,previous_bad_status_rate,0.1482853717417379
previous_tpv,recent_bad_status_rate,0.14784831675297302
approval_rate_drop,previous_pct_ecom_tpv,0.14759120510128793
previous_approval_rate,days_since_last_tx,0.14753963207417198
previous_tpv,recent_pct_pix_tpv,0.1441190447238791
recent_tpv,recent_bad_status_rate,0.13685220008611323
approval_rate_drop,previous_pct_pix_tpv,0.129441300643478
previous_tpv,previous_bad_status_rate,0.12576652397058616
recent_pct_ecom_tpv,previous_pct_pix_tpv,0.122191912844051
recent_pct_pix_tpv,previous_pct_pix_tpv,0.12066875312036232
recent_n_tx,previous_approval_rate,0.11671065401662176
recent_pct_ecom_tpv,previous_pct_ecom_tpv,0.1157205379805106
recent_bad_status_rate,previous_bad_status_rate,0.10752509396828952
previous_n_tx,recent_approval_rate,0.10738176972137409
previous_bad_status_rate,recent_pct_pix_tpv,0.10541278995669406
previous_pct_ecom_tpv,previous_pct_pix_tpv,0.10405414807776106
recent_bad_status_rate,previous_pct_pix_tpv,0.10279297570205001
previous_bad_status_rate,previous_pct_pix_tpv,0.10219203855593549
previous_bad_status_rate,recent_pct_ecom_tpv,0.10209117832262576
previous_pct_ecom_tpv,recent_pct_pix_tpv,0.09829874688946644
recent_bad_status_rate,previous_pct_ecom_tpv,0.0968708107278066
recent_bad_status_rate,recent_pct_ecom_tpv,0.09513990459715391
recent_approval_rate,median_days_between_tx,0.09481548989632173
recent_tpv,previous_approval_rate,0.09331661301720715
recent_bad_status_rate,recent_pct_pix_tpv,0.09286058029185347
recent_pct_ecom_tpv,recent_pct_pix_tpv,0.08684317698078027
approval_rate_drop,previous_bad_status_rate,0.08459029122871034
previous_tpv,recent_approval_rate,0.08407225972015367
previous_bad_status_rate,previous_pct_ecom_tpv,0.07215004062669661
previous_approval_rate,recent_pct_ecom_tpv,0.06189129008915688
recent_approval_rate,previous_approval_rate,0.05240704049990928
recent_approval_rate,previous_pct_ecom_tpv,0.04997184122373832
tx_drop_ratio,median_days_between_tx,0.048103381788395745
recent_bad_status_rate,days_since_last_complaint_safe,0.04293281289905872
recent_approval_rate,previous_pct_pix_tpv,0.04210498914223696
previous_approval_rate,recent_bad_status_rate,0.04045738666228021
recent_approval_rate,previous_bad_status_rate,0.035690151656977254
previous_approval_rate,recent_pct_pix_tpv,0.03381173572308941
previous_pct_pix_tpv,days_since_last_complaint_safe,0.03025433983887292
tpv_drop_ratio,median_days_between_tx,0.03001634397936481
median_days_between_tx,days_since_last_complaint_safe,0.0246184898207187
tpv_drop_ratio,previous_bad_status_rate,0.02368397324566499
recent_pct_pix_tpv,days_since_last_complaint_safe,0.019360426555196056
days_since_last_tx,days_since_last_complaint_safe,0.015734925586653164
recent_n_tx,days_since_last_complaint_safe,0.015328731161369348
approval_rate_drop,median_days_between_tx,0.015049595218298713
tpv_drop_ratio,days_since_last_complaint_safe,0.013698073796379483
recent_tpv,days_since_last_complaint_safe,0.011936596098374136
previous_tpv,days_since_last_complaint_safe,0.01188134079071997
recent_pct_ecom_tpv,days_since_last_complaint_safe,0.011496766355677241
previous_bad_status_rate,days_since_last_complaint_safe,0.01089575802721022
previous_pct_ecom_tpv,days_since_last_complaint_safe,0.007874756428177976
tpv_drop_ratio,recent_bad_status_rate,0.007278374663937122
approval_rate_drop,days_since_last_complaint_safe,0.007257384058559808
recent_approval_rate,days_since_last_complaint_safe,0.006012516600924163
previous_n_tx,days_since_last_complaint_safe,0.005317875220936084
tx_drop_ratio,days_since_last_complaint_safe,0.0037584210182921535
previous_approval_rate,days_since_last_complaint_safe,0.002736080745548501
